dataset_id,dataset_name,num_instances,num_features,num_classes,default_target_attribute,total_missing_values,percentage_missing_values,instances_with_missing_values,num_numeric_features,num_symbolic_features,percentage_numeric_features,percentage_symbolic_features,majority_class_percentage,minority_class_percentage,majority_class_size,minority_class_size,mean,std_dev,min,max,kurtosis,skewness,auto_correlation,class_entropy,model_id,model_name,accuracy,task_type
50,tic-tac-toe,958,10,2,Class,0,0,0,0,10,0,100,65.34446764,34.65553236,626,332,,,,,,,0.9989550679,0.9309539863,418,weka.AdaBoostM1_OneR,0.756329,Supervised Classification
50,tic-tac-toe,958,10,2,Class,0,0,0,0,10,0,100,65.34446764,34.65553236,626,332,,,,,,,0.9989550679,0.9309539863,418,weka.AdaBoostM1_OneR,0.781646,Supervised Classification
50,tic-tac-toe,958,10,2,Class,0,0,0,0,10,0,100,65.34446764,34.65553236,626,332,,,,,,,0.9989550679,0.9309539863,418,weka.AdaBoostM1_OneR,0.800633,Supervised Classification
50,tic-tac-toe,958,10,2,Class,0,0,0,0,10,0,100,65.34446764,34.65553236,626,332,,,,,,,0.9989550679,0.9309539863,418,weka.AdaBoostM1_OneR,0.863924,Supervised Classification
50,tic-tac-toe,958,10,2,Class,0,0,0,0,10,0,100,65.34446764,34.65553236,626,332,,,,,,,0.9989550679,0.9309539863,418,weka.AdaBoostM1_OneR,0.949367,Supervised Classification
50,tic-tac-toe,958,10,2,Class,0,0,0,0,10,0,100,65.34446764,34.65553236,626,332,,,,,,,0.9989550679,0.9309539863,419,weka.AdaBoostM1_RandomForest,0.924051,Supervised Classification
50,tic-tac-toe,958,10,2,Class,0,0,0,0,10,0,100,65.34446764,34.65553236,626,332,,,,,,,0.9989550679,0.9309539863,420,weka.AdaBoostM1_RandomTree,0.765823,Supervised Classification
50,tic-tac-toe,958,10,2,Class,0,0,0,0,10,0,100,65.34446764,34.65553236,626,332,,,,,,,0.9989550679,0.9309539863,422,weka.AdaBoostM1_REPTree,0.990506,Supervised Classification
50,tic-tac-toe,958,10,2,Class,0,0,0,0,10,0,100,65.34446764,34.65553236,626,332,,,,,,,0.9989550679,0.9309539863,422,weka.AdaBoostM1_REPTree,0.984177,Supervised Classification
50,tic-tac-toe,958,10,2,Class,0,0,0,0,10,0,100,65.34446764,34.65553236,626,332,,,,,,,0.9989550679,0.9309539863,422,weka.AdaBoostM1_REPTree,0.987342,Supervised Classification
50,tic-tac-toe,958,10,2,Class,0,0,0,0,10,0,100,65.34446764,34.65553236,626,332,,,,,,,0.9989550679,0.9309539863,422,weka.AdaBoostM1_REPTree,0.981013,Supervised Classification
50,tic-tac-toe,958,10,2,Class,0,0,0,0,10,0,100,65.34446764,34.65553236,626,332,,,,,,,0.9989550679,0.9309539863,422,weka.AdaBoostM1_REPTree,0.939873,Supervised Classification
50,tic-tac-toe,958,10,2,Class,0,0,0,0,10,0,100,65.34446764,34.65553236,626,332,,,,,,,0.9989550679,0.9309539863,423,weka.AdaBoostM1_SMO_PolyKernel,0.987342,Supervised Classification
50,tic-tac-toe,958,10,2,Class,0,0,0,0,10,0,100,65.34446764,34.65553236,626,332,,,,,,,0.9989550679,0.9309539863,423,weka.AdaBoostM1_SMO_PolyKernel,0.981013,Supervised Classification
50,tic-tac-toe,958,10,2,Class,0,0,0,0,10,0,100,65.34446764,34.65553236,626,332,,,,,,,0.9989550679,0.9309539863,1075,weka.NNge,0.813291,Supervised Classification
50,tic-tac-toe,958,10,2,Class,0,0,0,0,10,0,100,65.34446764,34.65553236,626,332,,,,,,,0.9989550679,0.9309539863,1076,weka.SimpleCart,0.905063,Supervised Classification
50,tic-tac-toe,958,10,2,Class,0,0,0,0,10,0,100,65.34446764,34.65553236,626,332,,,,,,,0.9989550679,0.9309539863,1077,weka.REPTree,0.794304,Supervised Classification
50,tic-tac-toe,958,10,2,Class,0,0,0,0,10,0,100,65.34446764,34.65553236,626,332,,,,,,,0.9989550679,0.9309539863,1078,weka.RandomTree,0.803797,Supervised Classification
50,tic-tac-toe,958,10,2,Class,0,0,0,0,10,0,100,65.34446764,34.65553236,626,332,,,,,,,0.9989550679,0.9309539863,1079,weka.RandomForest,0.927215,Supervised Classification
50,tic-tac-toe,958,10,2,Class,0,0,0,0,10,0,100,65.34446764,34.65553236,626,332,,,,,,,0.9989550679,0.9309539863,1080,weka.NBTree,0.775316,Supervised Classification
50,tic-tac-toe,958,10,2,Class,0,0,0,0,10,0,100,65.34446764,34.65553236,626,332,,,,,,,0.9989550679,0.9309539863,1173,weka.HNB,0.772152,Supervised Classification
50,tic-tac-toe,958,10,2,Class,0,0,0,0,10,0,100,65.34446764,34.65553236,626,332,,,,,,,0.9989550679,0.9309539863,1174,weka.KernelLogisticRegression_RBFKernel,0.984177,Supervised Classification
50,tic-tac-toe,958,10,2,Class,0,0,0,0,10,0,100,65.34446764,34.65553236,626,332,,,,,,,0.9989550679,0.9309539863,1112,weka.LibLINEAR,0.987342,Supervised Classification
50,tic-tac-toe,958,10,2,Class,0,0,0,0,10,0,100,65.34446764,34.65553236,626,332,,,,,,,0.9989550679,0.9309539863,1177,weka.SimpleLogistic,0.987342,Supervised Classification
50,tic-tac-toe,958,10,2,Class,0,0,0,0,10,0,100,65.34446764,34.65553236,626,332,,,,,,,0.9989550679,0.9309539863,1178,weka.SMO_PolyKernel,0.987342,Supervised Classification
50,tic-tac-toe,958,10,2,Class,0,0,0,0,10,0,100,65.34446764,34.65553236,626,332,,,,,,,0.9989550679,0.9309539863,1179,weka.SMO_RBFKernel,0.617089,Supervised Classification
50,tic-tac-toe,958,10,2,Class,0,0,0,0,10,0,100,65.34446764,34.65553236,626,332,,,,,,,0.9989550679,0.9309539863,1180,weka.SPegasos,0.987342,Supervised Classification
50,tic-tac-toe,958,10,2,Class,0,0,0,0,10,0,100,65.34446764,34.65553236,626,332,,,,,,,0.9989550679,0.9309539863,1181,weka.Winnow,0.689873,Supervised Classification
50,tic-tac-toe,958,10,2,Class,0,0,0,0,10,0,100,65.34446764,34.65553236,626,332,,,,,,,0.9989550679,0.9309539863,1105,weka.IBk,0.977848,Supervised Classification
50,tic-tac-toe,958,10,2,Class,0,0,0,0,10,0,100,65.34446764,34.65553236,626,332,,,,,,,0.9989550679,0.9309539863,1182,weka.AdaBoostM1_DecisionStump,0.71519,Supervised Classification
50,tic-tac-toe,958,10,2,Class,0,0,0,0,10,0,100,65.34446764,34.65553236,626,332,,,,,,,0.9989550679,0.9309539863,1182,weka.AdaBoostM1_DecisionStump,0.765823,Supervised Classification
50,tic-tac-toe,958,10,2,Class,0,0,0,0,10,0,100,65.34446764,34.65553236,626,332,,,,,,,0.9989550679,0.9309539863,1182,weka.AdaBoostM1_DecisionStump,0.781646,Supervised Classification
50,tic-tac-toe,958,10,2,Class,0,0,0,0,10,0,100,65.34446764,34.65553236,626,332,,,,,,,0.9989550679,0.9309539863,1182,weka.AdaBoostM1_DecisionStump,0.870253,Supervised Classification
50,tic-tac-toe,958,10,2,Class,0,0,0,0,10,0,100,65.34446764,34.65553236,626,332,,,,,,,0.9989550679,0.9309539863,1182,weka.AdaBoostM1_DecisionStump,0.968354,Supervised Classification
50,tic-tac-toe,958,10,2,Class,0,0,0,0,10,0,100,65.34446764,34.65553236,626,332,,,,,,,0.9989550679,0.9309539863,1183,weka.AttributeSelectedClassifier_CfsSubsetEval_BestFirst_J48,0.762658,Supervised Classification
50,tic-tac-toe,958,10,2,Class,0,0,0,0,10,0,100,65.34446764,34.65553236,626,332,,,,,,,0.9989550679,0.9309539863,1185,weka.Bagging_REPTree,0.901899,Supervised Classification
50,tic-tac-toe,958,10,2,Class,0,0,0,0,10,0,100,65.34446764,34.65553236,626,332,,,,,,,0.9989550679,0.9309539863,1194,weka.RandomSubSpace_REPTree,0.781646,Supervised Classification
50,tic-tac-toe,958,10,2,Class,0,0,0,0,10,0,100,65.34446764,34.65553236,626,332,,,,,,,0.9989550679,0.9309539863,1194,weka.RandomSubSpace_REPTree,0.753165,Supervised Classification
50,tic-tac-toe,958,10,2,Class,0,0,0,0,10,0,100,65.34446764,34.65553236,626,332,,,,,,,0.9989550679,0.9309539863,1086,weka.Id3,0.81962,Supervised Classification
50,tic-tac-toe,958,10,2,Class,0,0,0,0,10,0,100,65.34446764,34.65553236,626,332,,,,,,,0.9989550679,0.9309539863,1087,weka.HoeffdingTree,0.734177,Supervised Classification
50,tic-tac-toe,958,10,2,Class,0,0,0,0,10,0,100,65.34446764,34.65553236,626,332,,,,,,,0.9989550679,0.9309539863,1090,weka.DecisionStump,0.724684,Supervised Classification
50,tic-tac-toe,958,10,2,Class,0,0,0,0,10,0,100,65.34446764,34.65553236,626,332,,,,,,,0.9989550679,0.9309539863,1094,weka.JRip,0.984177,Supervised Classification
50,tic-tac-toe,958,10,2,Class,0,0,0,0,10,0,100,65.34446764,34.65553236,626,332,,,,,,,0.9989550679,0.9309539863,1104,weka.IB1,0.806962,Supervised Classification
50,tic-tac-toe,958,10,2,Class,0,0,0,0,10,0,100,65.34446764,34.65553236,626,332,,,,,,,0.9989550679,0.9309539863,1244,weka.FilteredClassifier_Discretize_J48,0.829114,Supervised Classification
50,tic-tac-toe,958,10,2,Class,0,0,0,0,10,0,100,65.34446764,34.65553236,626,332,,,,,,,0.9989550679,0.9309539863,1185,weka.Bagging_REPTree,0.886076,Supervised Classification
50,tic-tac-toe,958,10,2,Class,0,0,0,0,10,0,100,65.34446764,34.65553236,626,332,,,,,,,0.9989550679,0.9309539863,1199,weka.ADTree,0.844937,Supervised Classification
